Year,Amount $,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2022-23,34414936,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Salaries and wages,No Value
2022-23,5194460,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Employee benefits,No Value
2022-23,1344214,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transportation and communication,No Value
2022-23,11776705,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Services,No Value
2022-23,415663,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Supplies and equipment,No Value
2022-23,9702089,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Agricultural Drainage Infrastructure Program
2022-23,14846890,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Canadian Ag Partnership-Federal-Public Health and Env
2022-23,672440,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Grassroots Growth Program
2022-23,441680,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Lake Simcoe Agri-Environmental Partnerships
2022-23,-520000,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Recoveries,No Value
2022-23,12495,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2022-23,2561680,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2022-23,345857,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2022-23,86587,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2022-23,188344,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2022-23,26247,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2022-23,2241348,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Salaries and wages,No Value
2022-23,642836,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Employee benefits,No Value
2022-23,48160,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Transportation and communication,No Value
2022-23,1653268,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,No Value
2022-23,18377,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Supplies and equipment,No Value
2022-23,2617756,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Salaries and wages,No Value
2022-23,395384,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Employee benefits,No Value
2022-23,10808,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Transportation and communication,No Value
2022-23,165834,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Services,No Value
2022-23,5459,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Supplies and equipment,No Value
2022-23,1765698,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2022-23,228392,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2022-23,10782,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2022-23,109783,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2022-23,7982,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2022-23,3531202,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2022-23,550354,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2022-23,35797,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2022-23,685542,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2022-23,25670,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2022-23,8138,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2022-23,3066556,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2022-23,12300,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2022-23,49301,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2022-23,33334,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2022-23,11196434,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Salaries and wages,No Value
2022-23,1630380,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Employee benefits,No Value
2022-23,117003,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Transportation and communication,No Value
2022-23,1312888,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Services,No Value
2022-23,27747,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Supplies and equipment,No Value
2022-23,24428422,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Salaries and wages,No Value
2022-23,3852948,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Employee benefits,No Value
2022-23,473450,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transportation and communication,No Value
2022-23,9424246,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Services,No Value
2022-23,135490,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Supplies and equipment,No Value
2022-23,800000,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Agri-Food Processing Fund
2022-23,18577008,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Canadian Ag Partnership-Federal-Economic Development
2022-23,14803081,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,COVID-19 Programming - Provincial
2022-23,18676300,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Food Industry
2022-23,4049073,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Grassroots Growth Program
2022-23,23590580,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Ontario Wine Fund
2022-23,4171741,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Rural Economic Development Program
2022-23,5375788,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Small Cidery and Small Distillery Support Program
2022-23,2379553,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Salaries and wages,No Value
2022-23,344635,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Employee benefits,No Value
2022-23,27829,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transportation and communication,No Value
2022-23,331383,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Services,No Value
2022-23,7150,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Supplies and equipment,No Value
2022-23,57659,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,Food Safety Research
2022-23,1250000,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,Grants in Lieu of Taxes
2022-23,66100000,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,University of Guelph
2022-23,11580001,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,Canadian Ag Partnership-Federal-Research
2022-23,12773092,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Agricorp
2022-23,51129741,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriInsurance
2022-23,24500000,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriInvest
2022-23,45469500,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriStability
2022-23,458773,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Wildlife Damage Compensation - Federal
2022-23,484475,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Wildlife Damage Compensation - Provincial
2022-23,151590000,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Ontario Risk Management Program
2022-23,303173,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2022-23,4500000,"Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Research Infrastructure Maintenance and Repairs
2022-23,2500000,"Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Research Infrastructure Renewal
2022-23,500000,"Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Agri-Food and Animal Health Laboratory Infrastructure
2022-23,3250601,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2022-23,368004,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2022-23,87962,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2022-23,121714,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2022-23,38194,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2022-23,5369969,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,No Value
2022-23,701179,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,No Value
2022-23,32383,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
2022-23,616694,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
2022-23,19387,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,No Value
2022-23,13567,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Salaries and wages,No Value
2022-23,1548,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Employee benefits,No Value
2022-23,25461,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2022-23,5429927,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2022-23,48641,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2022-23,3395414,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2022-23,539845,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
