Year,Amount $,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2019-20,"500,000","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Agri-Food and Animal Health Laboratory Infrastructure
2019-20,"10,668,930","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Investing in Canada Infrastructure Program - Federal Contribution
2019-20,"5,707,219","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Investing in Canada Infrastructure Program - Provincial Contribution
2019-20,"4,500,000","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Research Infrastructure Maintenance and Repairs
2019-20,"2,500,000","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Research Infrastructure Renewal
2019-20,"15,864,793","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,New Building Canada Fund - Federal Contribution
2019-20,"61,755,020","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,New Building Canada Fund - Provincial Contribution
2019-20,"222,059,368","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Municipal Infrastructure
2019-20,"-23,520","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Recoveries,No Value
2019-20,"904,222","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Grassroots Growth Program
2019-20,"23,520","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Lake Simcoe Agri-Environmental Partnerships
2019-20,"23,500","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Agri-Environmental Standards Research
2019-20,"240,853","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Supplies and equipment,No Value
2019-20,"1,282,897","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transportation and communication,No Value
2019-20,"4,510,725","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Employee benefits,No Value
2019-20,"9,684,340","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Agricultural Drainage Infrastructure Program
2019-20,"11,503,750","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Services,No Value
2019-20,"17,149,607","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Canadian Ag Partnership – Federal – Public Health and Environment
2019-20,"31,910,756","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Salaries and wages,No Value
2019-20,204,"Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
